GISJOIN,STATE,STATEA,SMSA,SMSAA,COUNTY,COUNTYA,TRACTA,BLOCKA,TOTAL_POP
G1100010000501107,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,000501,107,0
G1100010001902202,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,001902,202,0
G11000100024203,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,0024,203,0
G11000100028103,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,0028,103,59
G1100010004201208,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,004201,208,0
G1100010005401102,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,005401,102,0
G1100010006202313,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,006202,313,0
G11000100065112,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,0065,112,0
G1100010006804207,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,006804,207,79
G11000100070113,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,0070,113,0
G11000100070203,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,0070,203,0
G1100010007299100,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,007299,100,0
G1100010007299200,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,007299,200,0
G1100010007302101,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,007302,101,113
G1100010007308116,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,007308,116,0
G1100010007707102,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,007707,102,0
G1100010008905133,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,008905,133,0
G1100010009002303,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,009002,303,0
G1100010009102221,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,009102,221,0
G1100010009601101,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,009601,101,0
G1100010009601107,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,009601,107,0
G1100010009601212,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,009601,212,1
G1100010009603105,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,009603,105,110
G1100010009604506,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,009604,506,0
G11000100097111,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,0097,111,0
G11000100097112,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,0097,112,173
G1100010009905208,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,009905,208,0
G1100010009905513,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,009905,513,0
